i=  5, j=  6, f=  5, g=  6
i=  5, j= 11, f=  6, g=  7
i=  5, j= 16, f=  7, g=  8
i=  5, j= 21, f=  8, g=  9
i=  5, j= 26, f=  9, g= 10
i=  5, j= 31, f= 10, g= 11
i=  5, j= 36, f= 11, g= 12
i=  5, j= 41, f= 12, g= 13
i=  5, j= 46, f= 13, g= 14
i=  5, j= 51, f= 14, g= 15
i=  5, j= 56, f= 15, g= 16
i=  6, j=  5, f=  5, g=  6
i=  6, j=  7, f=  5, g=  7
i=  6, j= 11, f=  6, g=  7
i=  6, j= 13, f=  6, g=  8
i=  6, j= 17, f=  7, g=  8
i=  6, j= 19, f=  7, g=  9
i=  6, j= 23, f=  8, g=  9
i=  6, j= 25, f=  8, g= 10
i=  6, j= 29, f=  9, g= 10
i=  6, j= 31, f=  9, g= 11
i=  6, j= 35, f= 10, g= 11
i=  6, j= 37, f= 10, g= 12
i=  6, j= 41, f= 11, g= 12
i=  6, j= 43, f= 11, g= 13
i=  6, j= 47, f= 12, g= 13
i=  6, j= 49, f= 12, g= 14
i=  6, j= 53, f= 13, g= 14
i=  6, j= 55, f= 13, g= 15
i=  6, j= 59, f= 14, g= 15
i=  7, j=  6, f=  5, g=  7
i=  7, j=  8, f=  7, g=  8
i=  7, j= 13, f=  6, g=  8
i=  7, j= 15, f=  8, g=  9
i=  7, j= 20, f=  7, g=  9
i=  7, j= 22, f=  9, g= 10
i=  7, j= 27, f=  8, g= 10
i=  7, j= 29, f= 10, g= 11
i=  7, j= 34, f=  9, g= 11
i=  7, j= 36, f= 11, g= 12
i=  7, j= 41, f= 10, g= 12
i=  7, j= 43, f= 12, g= 13
i=  7, j= 48, f= 11, g= 13
i=  7, j= 50, f= 13, g= 14
i=  7, j= 55, f= 12, g= 14
i=  7, j= 57, f= 14, g= 15
i=  8, j=  7, f=  7, g=  8
i=  8, j=  9, f=  7, g=  9
i=  8, j= 15, f=  8, g=  9
i=  8, j= 17, f=  8, g= 10
i=  8, j= 23, f=  9, g= 10
i=  8, j= 25, f=  9, g= 11
